Taille,Test,CPU,Mem,Action,Structure
1938600,6,6.52,161916,removeValue_last,linkedlist
1938600,6,0.83,113756,removeValue_last,vector
2073700,6,1.16,132700,changeValue_first,arraylist
2073700,6,6.35,165468,changeValue_first,linkedlist
2073700,6,1.01,124064,changeValue_first,vector
1867400,6,0.96,124288,changeValue_middle,arraylist
1867400,6,6.26,156672,changeValue_middle,linkedlist
1867400,6,0.92,111872,changeValue_middle,vector
306900,6,0.20,51668,changeValue_last,arraylist
306900,6,0.23,52200,changeValue_last,linkedlist
306900,6,0.22,51556,changeValue_last,vector
2014000,6,0.98,120060,getValue_first,arraylist
2014000,6,6.64,161848,getValue_first,linkedlist
2014000,6,0.87,109812,getValue_first,vector
361400,6,0.26,56084,getValue_middle,arraylist
361400,6,0.24,52516,getValue_middle,linkedlist
361400,6,0.22,51652,getValue_middle,vector
480500,6,0.27,57592,getValue_last,arraylist
480500,6,0.22,56364,getValue_last,linkedlist
480500,6,0.22,55812,getValue_last,vector
2542100,7,1.32,136600,insert,arraylist
2542100,7,6.22,186336,insert,linkedlist
2542100,7,1.10,125356,insert,vector
2336500,7,1.24,134448,removeValue_first,arraylist
2336500,7,6.26,173764,removeValue_first,linkedlist
2336500,7,1.12,122052,removeValue_first,vector
896000,7,0.35,70684,removeValue_middle,arraylist
896000,7,3.00,101548,removeValue_middle,linkedlist
896000,7,0.33,66252,removeValue_middle,vector
129000,7,0.20,47356,removeValue_last,arraylist
129000,7,0.21,41564,removeValue_last,linkedlist
129000,7,0.19,47732,removeValue_last,vector
301800,7,0.21,48080,changeValue_first,arraylist
301800,7,0.20,50028,changeValue_first,linkedlist
301800,7,0.21,49824,changeValue_first,vector
350500,7,0.25,48040,changeValue_middle,arraylist
350500,7,0.21,54064,changeValue_middle,linkedlist
350500,7,0.19,53780,changeValue_middle,vector
308500,7,0.24,54216,changeValue_last,arraylist
308500,7,0.23,51780,changeValue_last,linkedlist
308500,7,0.22,51660,changeValue_last,vector
2001900,7,1.02,122240,getValue_first,arraylist
2001900,7,6.43,158020,getValue_first,linkedlist
2001900,7,0.92,111660,getValue_first,vector
1222400,7,0.40,83112,getValue_middle,arraylist
1222400,7,3.90,116468,getValue_middle,linkedlist
1222400,7,0.37,76268,getValue_middle,vector
635700,7,0.29,60472,getValue_last,arraylist
635700,7,2.04,90112,getValue_last,linkedlist
635700,7,0.26,57872,getValue_last,vector
3125900,8,1.50,161020,insert,arraylist
3125900,8,15.96,236616,insert,linkedlist
3125900,8,1.35,156856,insert,vector
1716300,8,0.88,110216,removeValue_first,arraylist
1716300,8,5.00,135532,removeValue_first,linkedlist
1716300,8,0.87,113444,removeValue_first,vector
1236900,8,0.44,87092,removeValue_middle,arraylist
1236900,8,3.80,114756,removeValue_middle,linkedlist
1236900,8,0.36,72556,removeValue_middle,vector
906000,8,0.36,68508,removeValue_last,arraylist
906000,8,2.97,101168,removeValue_last,linkedlist
906000,8,0.36,68092,removeValue_last,vector
115200,8,0.20,43656,changeValue_first,arraylist
115200,8,0.21,45172,changeValue_first,linkedlist
115200,8,0.18,41560,changeValue_first,vector
372100,8,0.25,51980,changeValue_middle,arraylist
372100,8,0.22,56132,changeValue_middle,linkedlist
372100,8,0.24,49920,changeValue_middle,vector
2559200,8,1.24,132564,changeValue_last,arraylist
2559200,8,6.56,180360,changeValue_last,linkedlist
2559200,8,1.15,124156,changeValue_last,vector
2685500,8,1.28,142944,getValue_first,arraylist
2685500,8,6.58,190296,getValue_first,linkedlist
2685500,8,1.16,146796,getValue_first,vector
1281400,8,0.47,85388,getValue_middle,arraylist
1281400,8,3.85,119660,getValue_middle,linkedlist
1281400,8,0.37,70612,getValue_middle,vector
2567600,8,1.22,138520,getValue_last,arraylist
2567600,8,6.36,184248,getValue_last,linkedlist
2567600,8,1.09,127976,getValue_last,vector
2727800,9,1.58,142872,insert,arraylist
2727800,9,16.28,228640,insert,linkedlist
2727800,9,1.39,154960,insert,vector
431500,9,0.21,57460,removeValue_first,arraylist
431500,9,0.25,56244,removeValue_first,linkedlist
431500,9,0.21,55844,removeValue_first,vector
1770100,9,0.91,113756,removeValue_middle,arraylist
1770100,9,6.51,153768,removeValue_middle,linkedlist
1770100,9,0.87,111716,removeValue_middle,vector
1116000,9,0.39,76800,removeValue_last,arraylist
1116000,9,4.07,116332,removeValue_last,linkedlist
1116000,9,0.32,68444,removeValue_last,vector
1294900,9,0.45,85052,changeValue_first,arraylist
1294900,9,3.98,112576,changeValue_first,linkedlist
1294900,9,0.34,70408,changeValue_first,vector
60900,9,0.19,39296,changeValue_middle,arraylist
60900,9,0.19,41368,changeValue_middle,linkedlist
60900,9,0.16,39048,changeValue_middle,vector
1850000,9,1.00,120312,changeValue_last,arraylist
1850000,9,6.45,157768,changeValue_last,linkedlist
1850000,9,0.90,109872,changeValue_last,vector
3012800,9,1.46,165292,getValue_first,arraylist
3012800,9,16.26,230756,getValue_first,linkedlist
3012800,9,1.40,156932,getValue_first,vector
195400,9,0.23,49788,getValue_middle,arraylist
195400,9,0.22,45892,getValue_middle,linkedlist
195400,9,0.22,45508,getValue_middle,vector
2107700,9,1.19,134348,getValue_last,arraylist
2107700,9,6.47,163928,getValue_last,linkedlist
2107700,9,0.95,122076,getValue_last,vector
2248200,10,1.12,132392,insert,arraylist
2248200,10,6.14,171652,insert,linkedlist
2248200,10,1.06,122140,insert,vector
1253000,10,0.45,87128,removeValue_first,arraylist
1253000,10,3.94,118592,removeValue_first,linkedlist
1253000,10,0.38,70640,removeValue_first,vector
337900,10,0.25,47996,removeValue_middle,arraylist
337900,10,0.26,54004,removeValue_middle,linkedlist
337900,10,0.22,49800,removeValue_middle,vector
1117100,10,0.36,78576,removeValue_last,arraylist
1117100,10,4.02,118412,removeValue_last,linkedlist
1117100,10,0.34,68488,removeValue_last,vector
2823500,10,1.52,159392,changeValue_first,arraylist
2823500,10,16.16,232824,changeValue_first,linkedlist
2823500,10,1.34,159208,changeValue_first,vector
712600,10,0.31,68464,changeValue_middle,arraylist
712600,10,2.11,90420,changeValue_middle,linkedlist
712600,10,0.30,62564,changeValue_middle,vector
701100,10,0.32,66372,changeValue_last,arraylist
701100,10,2.13,96304,changeValue_last,linkedlist
701100,10,0.32,66160,changeValue_last,vector
907900,10,0.37,70860,getValue_first,arraylist
907900,10,3.10,104096,getValue_first,linkedlist
907900,10,0.32,68196,getValue_first,vector
3250400,10,1.54,163140,getValue_middle,arraylist
3250400,10,16.95,232904,getValue_middle,linkedlist
3250400,10,1.38,156920,getValue_middle,vector
216500,10,0.22,43888,getValue_last,arraylist
216500,10,0.21,49880,getValue_last,linkedlist
216500,10,0.20,45748,getValue_last,vector
3077500,11,1.50,160880,insert,arraylist
3077500,11,15.51,228616,insert,linkedlist
3077500,11,1.39,152632,insert,vector
69400,11,0.17,39264,removeValue_first,arraylist
69400,11,0.16,39160,removeValue_first,linkedlist
69400,11,0.18,40928,removeValue_first,vector
864100,11,0.35,68620,removeValue_middle,arraylist
864100,11,2.84,101308,removeValue_middle,linkedlist
864100,11,0.30,64364,removeValue_middle,vector
943500,11,0.36,74612,removeValue_last,arraylist
943500,11,2.73,107584,removeValue_last,linkedlist
943500,11,0.33,64076,removeValue_last,vector
1827600,11,0.92,120168,changeValue_first,arraylist
1827600,11,6.64,155844,changeValue_first,linkedlist
1827600,11,0.83,111712,changeValue_first,vector
3181300,11,1.46,163408,changeValue_middle,arraylist
3181300,11,16.13,230808,changeValue_middle,linkedlist
3181300,11,1.42,155072,changeValue_middle,vector
1898100,11,1.03,124292,changeValue_last,arraylist
1898100,11,6.49,159088,changeValue_last,linkedlist
1898100,11,0.82,110012,changeValue_last,vector
2815100,11,1.45,163112,getValue_first,arraylist
2815100,11,16.07,228780,getValue_first,linkedlist
2815100,11,1.36,156744,getValue_first,vector
1114700,11,0.40,76608,getValue_middle,arraylist
1114700,11,3.94,115992,getValue_middle,linkedlist
1114700,11,0.34,70304,getValue_middle,vector
2490800,11,1.23,132640,getValue_last,arraylist
2490800,11,6.48,179212,getValue_last,linkedlist
2490800,11,1.12,124084,getValue_last,vector
2128200,12,1.18,132452,insert,arraylist
2128200,12,6.67,167924,insert,linkedlist
2128200,12,1.10,122116,insert,vector
3189300,12,1.61,159328,removeValue_first,arraylist
3189300,12,15.66,228504,removeValue_first,linkedlist
3189300,12,1.53,156140,removeValue_first,vector
1944100,12,0.94,124100,removeValue_middle,arraylist
1944100,12,6.68,156112,removeValue_middle,linkedlist
1944100,12,0.91,109716,removeValue_middle,vector
1918800,12,0.99,120328,removeValue_last,arraylist
1918800,12,6.41,155616,removeValue_last,linkedlist
1918800,12,0.92,113748,removeValue_last,vector
3231900,12,1.57,159224,changeValue_first,arraylist
3231900,12,16.14,228456,changeValue_first,linkedlist
3231900,12,1.36,158976,changeValue_first,vector
351500,12,0.23,49924,changeValue_middle,arraylist
351500,12,0.26,52228,changeValue_middle,linkedlist
351500,12,0.23,50088,changeValue_middle,vector
311300,12,0.24,49968,changeValue_last,arraylist
311300,12,0.23,49888,changeValue_last,linkedlist
311300,12,0.23,51932,changeValue_last,vector
2744600,12,1.49,163008,getValue_first,arraylist
2744600,12,16.43,228648,getValue_first,linkedlist
2744600,12,1.38,154984,getValue_first,vector
1730800,12,0.93,114220,getValue_middle,arraylist
1730800,12,5.17,127668,getValue_middle,linkedlist
1730800,12,0.87,113772,getValue_middle,vector
2304900,12,1.16,134428,getValue_last,arraylist
2304900,12,6.17,171292,getValue_last,linkedlist
2304900,12,1.09,127956,getValue_last,vector
1201700,13,0.36,74840,insert,arraylist
1201700,13,3.94,112320,insert,linkedlist
1201700,13,0.38,68500,insert,vector
2460600,13,1.24,134460,removeValue_first,arraylist
2460600,13,6.29,177504,removeValue_first,linkedlist
2460600,13,1.00,126036,removeValue_first,vector
2176000,13,1.17,134200,removeValue_middle,arraylist
2176000,13,6.45,166208,removeValue_middle,linkedlist
2176000,13,1.02,126064,removeValue_middle,vector
590100,13,0.31,60376,removeValue_last,arraylist
590100,13,0.20,62392,removeValue_last,linkedlist
590100,13,0.23,57780,removeValue_last,vector
2545300,13,1.22,138572,changeValue_first,arraylist
2545300,13,6.69,186352,changeValue_first,linkedlist
2545300,13,1.10,128136,changeValue_first,vector
1874500,13,1.02,120564,changeValue_middle,arraylist
1874500,13,6.70,159544,changeValue_middle,linkedlist
1874500,13,0.89,109652,changeValue_middle,vector
2088900,13,1.21,136448,changeValue_last,arraylist
2088900,13,6.46,165228,changeValue_last,linkedlist
2088900,13,0.95,126064,changeValue_last,vector
1233600,13,0.45,83100,getValue_first,arraylist
1233600,13,4.00,120412,getValue_first,linkedlist
1233600,13,0.35,70616,getValue_first,vector
2104100,13,1.25,134280,getValue_middle,arraylist
2104100,13,6.70,164160,getValue_middle,linkedlist
2104100,13,1.07,124120,getValue_middle,vector
1518200,13,0.90,112004,getValue_last,arraylist
1518200,13,5.20,132032,getValue_last,linkedlist
1518200,13,0.81,113660,getValue_last,vector
1400000,14,0.45,85188,insert,arraylist
1400000,14,3.76,113644,insert,linkedlist
1400000,14,0.45,84812,insert,vector
2565800,14,1.30,132572,removeValue_first,arraylist
2565800,14,6.36,181896,removeValue_first,linkedlist
2565800,14,1.13,123964,removeValue_first,vector
1791600,14,0.95,111928,removeValue_middle,arraylist
1791600,14,4.87,133800,removeValue_middle,linkedlist
1791600,14,0.88,109688,removeValue_middle,vector
922100,14,0.33,76744,removeValue_last,arraylist
922100,14,2.81,106780,removeValue_last,linkedlist
922100,14,0.31,66512,removeValue_last,vector
89100,14,0.19,41332,changeValue_first,arraylist
89100,14,0.20,41568,changeValue_first,linkedlist
89100,14,0.17,41484,changeValue_first,vector
1541600,14,0.91,113916,changeValue_middle,arraylist
1541600,14,4.95,129424,changeValue_middle,linkedlist
1541600,14,0.81,114028,changeValue_middle,vector
811400,14,0.32,72120,changeValue_last,arraylist
811400,14,2.27,92072,changeValue_last,linkedlist
811400,14,0.35,64132,changeValue_last,vector
2708400,14,1.32,148804,getValue_first,arraylist
2708400,14,6.82,186568,getValue_first,linkedlist
2708400,14,1.35,154844,getValue_first,vector
2690400,14,1.59,146552,getValue_middle,arraylist
2690400,14,6.72,190272,getValue_middle,linkedlist
2690400,14,1.30,144668,getValue_middle,vector
1218900,14,0.46,83048,getValue_last,arraylist
1218900,14,3.98,114424,getValue_last,linkedlist
1218900,14,0.34,72528,getValue_last,vector
1077400,15,0.35,72776,insert,arraylist
1077400,15,2.77,104376,insert,linkedlist
1077400,15,0.35,72156,insert,vector
560700,15,0.30,64364,removeValue_first,arraylist
560700,15,0.23,64020,removeValue_first,linkedlist
560700,15,0.23,54012,removeValue_first,vector
908400,15,0.38,68816,removeValue_middle,arraylist
908400,15,2.89,101048,removeValue_middle,linkedlist
908400,15,0.34,68368,removeValue_middle,vector
1821600,15,0.94,115904,removeValue_last,arraylist
1821600,15,6.49,155876,removeValue_last,linkedlist
1821600,15,0.84,109728,removeValue_last,vector
2079800,15,1.18,132380,changeValue_first,arraylist
2079800,15,6.49,165120,changeValue_first,linkedlist
2079800,15,1.07,126048,changeValue_first,vector
2544000,15,1.27,134784,changeValue_middle,arraylist
2544000,15,6.59,184580,changeValue_middle,linkedlist
2544000,15,1.06,126028,changeValue_middle,vector
1822900,15,0.97,110084,changeValue_last,arraylist
1822900,15,6.30,153220,changeValue_last,linkedlist
1822900,15,0.89,109648,changeValue_last,vector
23900,15,0.18,40104,getValue_first,arraylist
23900,15,0.18,40548,getValue_first,linkedlist
23900,15,0.17,44504,getValue_first,vector
2068100,15,1.24,132476,getValue_middle,arraylist
2068100,15,6.27,167352,getValue_middle,linkedlist
2068100,15,1.13,128080,getValue_middle,vector
2150500,15,1.24,136616,getValue_last,arraylist
2150500,15,6.33,165604,getValue_last,linkedlist
2150500,15,1.02,126068,getValue_last,vector
410600,16,0.22,54156,insert,arraylist
410600,16,0.24,58012,insert,linkedlist
410600,16,0.23,49820,insert,vector
516400,16,0.32,60236,removeValue_first,arraylist
516400,16,0.26,58440,removeValue_first,linkedlist
516400,16,0.24,55852,removeValue_first,vector
2818000,16,1.46,163084,removeValue_middle,arraylist
2818000,16,16.74,232884,removeValue_middle,linkedlist
2818000,16,1.42,154916,removeValue_middle,vector
3020500,16,1.45,163360,removeValue_last,arraylist
3020500,16,16.27,232348,removeValue_last,linkedlist
3020500,16,1.40,155072,removeValue_last,vector
2228600,16,1.20,132732,changeValue_first,arraylist
2228600,16,6.31,167852,changeValue_first,linkedlist
2228600,16,0.97,122208,changeValue_first,vector
2892300,16,1.50,163224,changeValue_middle,arraylist
2892300,16,15.93,232216,changeValue_middle,linkedlist
2892300,16,1.45,153052,changeValue_middle,vector
13600,16,0.16,36888,changeValue_last,arraylist
13600,16,0.16,36868,changeValue_last,linkedlist
13600,16,0.15,38712,changeValue_last,vector
3098900,16,1.45,159264,getValue_first,arraylist
3098900,16,16.32,234748,getValue_first,linkedlist
3098900,16,1.40,158864,getValue_first,vector
1792800,16,0.91,110120,getValue_middle,arraylist
1792800,16,6.62,151216,getValue_middle,linkedlist
1792800,16,0.88,115740,getValue_middle,vector
1806900,16,0.95,110056,getValue_last,arraylist
1806900,16,6.44,153640,getValue_last,linkedlist
1806900,16,0.88,112020,getValue_last,vector
259700,17,0.23,54024,insert,arraylist
259700,17,0.22,51692,insert,linkedlist
259700,17,0.22,45500,insert,vector
1188400,17,0.39,76648,removeValue_first,arraylist
1188400,17,4.06,116616,removeValue_first,linkedlist
1188400,17,0.33,68196,removeValue_first,vector
2476100,17,1.17,132720,removeValue_middle,arraylist
2476100,17,6.57,178296,removeValue_middle,linkedlist
2476100,17,1.06,123660,removeValue_middle,vector
1436400,17,0.96,110076,removeValue_last,arraylist
1436400,17,5.14,131584,removeValue_last,linkedlist
1436400,17,0.41,85176,removeValue_last,vector
1850100,17,0.97,122624,changeValue_first,arraylist
1850100,17,6.37,157608,changeValue_first,linkedlist
1850100,17,0.88,109864,changeValue_first,vector
2125900,17,1.22,136096,changeValue_middle,arraylist
2125900,17,6.36,163772,changeValue_middle,linkedlist
2125900,17,1.09,125968,changeValue_middle,vector
1078700,17,0.35,76664,changeValue_last,arraylist
1078700,17,2.82,102980,changeValue_last,linkedlist
1078700,17,0.34,74476,changeValue_last,vector
47200,17,0.16,39016,getValue_first,arraylist
47200,17,0.19,45092,getValue_first,linkedlist
47200,17,0.17,38908,getValue_first,vector
685500,17,0.31,62452,getValue_middle,arraylist
685500,17,2.09,93328,getValue_middle,linkedlist
685500,17,0.32,60092,getValue_middle,vector
87800,17,0.20,39320,getValue_last,arraylist
87800,17,0.18,45404,getValue_last,linkedlist
87800,17,0.20,45304,getValue_last,vector
1139000,18,0.36,72796,insert,arraylist
1139000,18,3.81,113384,insert,linkedlist
1139000,18,0.35,71944,insert,vector
1713000,18,1.02,113852,removeValue_first,arraylist
1713000,18,5.52,131332,removeValue_first,linkedlist
1713000,18,0.89,111828,removeValue_first,vector
2039300,18,1.28,132692,removeValue_middle,arraylist
